,DetectedState,DateAnnounced
565,Odisha,20/04/2020
566,Odisha,20/04/2020
567,Odisha,20/04/2020
568,Odisha,20/04/2020
569,Odisha,20/04/2020
570,Andaman and Nicobar Islands,20/04/2020
571,Jammu and Kashmir,20/04/2020
572,Jammu and Kashmir,20/04/2020
573,Jammu and Kashmir,20/04/2020
574,Jammu and Kashmir,20/04/2020
575,Jammu and Kashmir,20/04/2020
576,Jammu and Kashmir,20/04/2020
577,Jammu and Kashmir,20/04/2020
578,Jammu and Kashmir,20/04/2020
579,Jammu and Kashmir,20/04/2020
580,Jammu and Kashmir,20/04/2020
581,Jammu and Kashmir,20/04/2020
582,Jammu and Kashmir,20/04/2020
583,Jammu and Kashmir,20/04/2020
584,Jammu and Kashmir,20/04/2020
585,Odisha,20/04/2020
586,Karnataka,20/04/2020
587,Karnataka,20/04/2020
588,Karnataka,20/04/2020
589,Karnataka,20/04/2020
590,Karnataka,20/04/2020
591,Karnataka,20/04/2020
592,Karnataka,20/04/2020
593,Karnataka,20/04/2020
594,Karnataka,20/04/2020
595,Karnataka,20/04/2020
596,Karnataka,20/04/2020
597,Karnataka,20/04/2020
598,Karnataka,20/04/2020
599,Kerala,20/04/2020
600,Kerala,20/04/2020
601,Kerala,20/04/2020
602,Kerala,20/04/2020
603,Kerala,20/04/2020
604,Kerala,20/04/2020
605,Madhya Pradesh,20/04/2020
606,Madhya Pradesh,20/04/2020
607,Madhya Pradesh,20/04/2020
608,Madhya Pradesh,20/04/2020
609,Madhya Pradesh,20/04/2020
610,Madhya Pradesh,20/04/2020
611,Madhya Pradesh,20/04/2020
612,Madhya Pradesh,20/04/2020
613,Madhya Pradesh,20/04/2020
614,Madhya Pradesh,20/04/2020
615,Madhya Pradesh,20/04/2020
616,Madhya Pradesh,20/04/2020
617,Madhya Pradesh,20/04/2020
618,Madhya Pradesh,20/04/2020
619,Madhya Pradesh,20/04/2020
620,Madhya Pradesh,20/04/2020
621,Madhya Pradesh,20/04/2020
622,Madhya Pradesh,20/04/2020
623,Madhya Pradesh,20/04/2020
624,Madhya Pradesh,20/04/2020
625,Madhya Pradesh,20/04/2020
626,Madhya Pradesh,20/04/2020
627,Madhya Pradesh,20/04/2020
628,Madhya Pradesh,20/04/2020
629,Madhya Pradesh,20/04/2020
630,Madhya Pradesh,20/04/2020
631,Madhya Pradesh,20/04/2020
632,Madhya Pradesh,20/04/2020
633,Madhya Pradesh,20/04/2020
634,Madhya Pradesh,20/04/2020
635,Madhya Pradesh,20/04/2020
636,Madhya Pradesh,20/04/2020
637,Madhya Pradesh,20/04/2020
638,Madhya Pradesh,20/04/2020
639,Madhya Pradesh,20/04/2020
640,Madhya Pradesh,20/04/2020
641,Madhya Pradesh,20/04/2020
642,Madhya Pradesh,20/04/2020
643,Madhya Pradesh,20/04/2020
644,Madhya Pradesh,20/04/2020
